"Timestamp","Please enter your user ID:","What device did you use to interact with the application? ","How difficult is reading the characters on the screen?","How difficult is differentiating all colours on the screen?","What is your opinion about organization of information on the screen?","How difficult is it to navigate the application?","How would you rate the design of the application?","Select the adjectives that describe the application the best in your opinion:","Select your overall satisfaction with the user interface:		","I think the graph is very useful in this visualisation. ","Please, add here any other comments:","I understand what is visualised in the application.","I can view each campaign easily.","I can see who has my data.","The graph helped me understand what happens to my data.","I feel more confident in my knowledge of data sharing.","I understand how to select a campaign.","I can easily see what happened to my data at a specific time.","Do you think companies and institutions in Europe respect your data privacy?","Do you think using this tool creates an added value which was missing before?","If such a tool were available to you in any service or application, would you share selected data with a company or institution?","Would you agree to share vehicle data like GPS location, speedometer data or fuel gauge readings, if you had the tool available to control the sharing activities?","Please insert here additional comments concerning  data privacy concerns of the tool."
"2021/02/16 10:03:31 am EET","190A667A20A691AC6DA22325C0DFE8FF8BD2CB8C","Laptop","4","3","4","4","3","Organised;Effective;Innovative","Very satisfied","Agree","","Strongly agree","Strongly agree","Strongly agree","Agree","Neutral","Yes","Strongly agree","Probably","Yes","Possibly","Yes",""
"2021/02/16 10:30:36 pm EET","BA87065A8B53D4D4171C416EB38669F320F7705C","Laptop","4","3","2","4","3","Organised;Effective;Innovative","Very satisfied","Strongly agree","Maybe a list of all organizations, or a list containing all data at once","Strongly agree","Strongly agree","Strongly agree","Disagree","Disagree","Yes","Agree","Probably not","Yes","Probably not","Possibly, rather than without the tool","Data anonymization would be an interesting feature? Indicator for anonymized data is missing."
"2021/02/18 6:43:12 pm EET","CA53789336EFABECFFEFC52E2E16D139E01A00EF","Laptop","4","4","4","3","4","Organised;Effective;Innovative","Very satisfied","Neutral","Big fan of the points, really nice visual feature. Would be nice to have a general overview of the companies I'm sharing the data with. Maybe a nice feature to add it to the network and/or make it easily accessible. ","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Agree","Yes","Strongly agree","Probably not","Yes","Possibly, rather than without the tool","Possibly",""
"2021/02/18 9:30:09 pm EET","19b2efe2288f4c88e5a4d04317f5ad2cd3fd5f4d","Desktop Pc","4","4","4","4","2","Time-consuming;Flexible;Innovative","Somewhat satisfied","Agree","","Strongly agree","Agree","Agree","Agree","Agree","Yes","Agree","Probably not","Yes","Yes","Yes",""
"2021/02/25 1:52:57 pm EET","D2BF93BA64E9B3D645D02EF2E2A3B6D3276657A1","Laptop","4","4","4","4","4","Organised;Effective;Flexible","Very satisfied","Agree","","Agree","Strongly agree","Strongly agree","Agree","Strongly agree","Yes","Strongly agree","Probably","Maybe","Possibly, rather than without the tool","Yes",""
"2021/03/02 3:40:49 pm EET","User Interface Design Survey 4F4C72D93FF4A99D43B0FBAE71C0EC9E92DB509F","Desktop Pc","4","4","4","4","4","Organised;Innovative","Very satisfied","Strongly agree","","Strongly agree","Agree","Strongly agree","Agree","Agree","Yes","Strongly agree","Probably not","Yes","Possibly","Not at all",""
"2021/03/02 9:20:32 pm EET","D4227C95F48EE2AF83432B921004A5739BBA5202","Laptop","4","4","4","4","4","Organised;Effective;Innovative","Very satisfied","Agree","","Agree","Strongly agree","Strongly agree","Neutral","Agree","Yes","Strongly agree","Probably","Yes","Yes","Possibly, rather than without the tool",""
"2021/03/02 10:39:17 pm EET","193085A0F38CCAE2D45D87EA550768D7F1E38439","Laptop","4","4","4","4","4","Organised;Effective;Valuable;Innovative","Very satisfied","Strongly agree","","Strongly agree","Strongly agree","Strongly agree","Agree","Neutral","Yes","Neutral","Probably not","Probably not","Probably not","Probably not",""
"2021/03/04 7:38:28 pm EET","97B54C5989E4684601AEF30A8DE992CF0B8ACFFC","Laptop","4","4","4","4","4","Organised;Flexible;Innovative","Very satisfied","Strongly agree","","Strongly agree","Strongly agree","Strongly agree","Neutral","Agree","Yes","Strongly agree","Probably not","Yes","Probably not","Probably not",""
"2021/03/07 9:33:38 pm EET","2ABB2041EA73BC7CE81E5C40412A84B6D28C858B","Laptop","4","4","4","4","4","Organised;Effective;Innovative","Very satisfied","Strongly agree","","Strongly agree","Strongly agree","Strongly agree","Agree","Disagree","No","Disagree","Yes","Maybe","Possibly","Possibly",""
"2021/03/09 10:34:14 pm EET","2E837A03C8941FB0EDE8FFF1B9B67767521EBE7D","Phone","4","3","4","4","3","Organised;Valuable","Somewhat satisfied","Neutral","","Agree","Agree","Agree","Agree","Agree","Yes","Agree","Probably not","Yes","Possibly, rather than without the tool","Possibly, rather than without the tool",""
"2021/03/09 10:37:30 pm EET","AD59529423A6FD7D1B75246DF37E81155ADC51AA","Phone","3","4","3","3","3","Complex;Flexible;Innovative","Very satisfied","Agree","","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Disagree","No","Strongly agree","Probably not","Yes","Possibly, rather than without the tool","Possibly, rather than without the tool",""
"2021/03/10 1:28:01 pm EET","2E837A03C8941FB0EDE8FFF1B9B67767521EBE7D","Phone","4","3","4","4","3","Organised;Valuable","Somewhat satisfied","Neutral","","Agree","Agree","Agree","Agree","Agree","Yes","Agree","Probably not","Yes","Possibly, rather than without the tool","Possibly, rather than without the tool",""
"2021/03/12 12:20:25 pm EET","8EA2D31CC70EE44B9DAD5AD32F2C908B0AD7E147","Desktop Pc","4","4","3","4","4","Valuable;Innovative","Somewhat satisfied","Agree","the buttons at the left side can also show information about what institutions are collecting that kind of data","Agree","Agree","Agree","Neutral","Neutral","Yes","Neutral","Probably","Maybe","Possibly, rather than without the tool","Possibly, rather than without the tool","I expect to see more details about the usage of my data"
